date,close,highest,lowest ,open,amount,rate,volume,turnover 
2004/7/28,1388.81,1397.167,1366.503,1385.504,4.682,0.3383,10422292,6219950000
2004/7/29,1407.331,1407.356,1385.962,1388.617,18.521,1.3336,11508945,7160331880
2004/7/30,1386.202,1409.119,1384.738,1408.489,-21.129,-1.5014,9311763,5895365000
2004/8/2,1373.217,1383.077,1370.499,1381.877,-12.985,-0.9367,7271499,4757135630
2004/8/3,1366.258,1378.196,1363.693,1371.275,-6.959,-0.5068,7792464,5450750630
2004/8/4,1404.505,1424.553,1364.009,1365.665,38.247,2.7994,17709082,10878658750
2004/8/5,1389.039,1413.082,1387.546,1402.374,-15.466,-1.1012,11043246,6826090000
2004/8/6,1390.461,1400.954,1380.315,1388.073,1.422,0.1024,9235484,5914393130
2004/8/9,1395.848,1397.59,1382.943,1388.084,5.387,0.3874,8224818,5088668130
2004/8/10,1400.769,1404.722,1390.943,1396.623,4.921,0.3525,7162672,4532792810
2004/8/11,1384.964,1401.251,1382.244,1401.021,-15.805,-1.1283,7948078,4834778130
2004/8/12,1368.196,1378.794,1357.079,1378.794,-16.768,-1.2107,8755345,5170553750
2004/8/13,1368.45,1377.816,1358.315,1361.985,0.254,0.0186,8592050,5377718750
2004/8/16,1354.511,1369.866,1350.839,1366.516,-13.939,-1.0186,8121606,4719178130
2004/8/17,1360.2,1364.409,1344.813,1354.382,5.689,0.42,7568852,4745609060
2004/8/18,1358.216,1371.234,1357.027,1359.871,-1.984,-0.1459,7980519,5141436880
2004/8/19,1340.45,1357.268,1333.479,1357.231,-17.766,-1.308,8623672,5137114060
2004/8/20,1341.738,1349.475,1327.769,1338.307,1.288,0.0961,8835866,4986079060
2004/8/23,1325.413,1339.936,1322.979,1339.933,-16.325,-1.2167,6770421,3964250000
2004/8/24,1344.626,1347.151,1317.556,1323.791,19.213,1.4496,10166386,5484375630
2004/8/25,1339.784,1346.967,1334.292,1344.462,-4.842,-0.3601,6879255,3833918750
2004/8/26,1334.422,1340.948,1330.223,1339.616,-5.362,-0.4002,6084274,3515780000
2004/8/27,1320.614,1337.73,1314.6,1333.307,-13.808,-1.0348,7126479,4061751880
2004/8/30,1319.407,1322.232,1310.024,1318.318,-1.207,-0.0914,6289423,3436927810
2004/8/31,1342.062,1360.754,1331.762,1342.302,22.655,1.7171,12592352,6943955000
2004/9/1,1321.462,1340.771,1319.862,1340.75,-20.6,-1.535,6758693,3677390000
2004/9/2,1327.927,1328.607,1303.188,1319.071,6.465,0.4892,9207820,4861987810
2004/9/3,1327.116,1333.219,1319.825,1327.807,-0.811,-0.0611,8206269,4111095940
2004/9/6,1321.465,1326.873,1315.958,1326.459,-5.651,-0.4258,6085463,3216238130
2004/9/7,1324.294,1325.683,1312.312,1321.208,2.829,0.2141,6308507,3215600940
2004/9/8,1309.333,1323.259,1302.113,1322.84,-14.961,-1.1297,8600496,4076816880
2004/9/9,1284.307,1307.472,1281.749,1307.468,-25.026,-1.9114,8667538,4464117500
2004/9/10,1287.081,1287.747,1270.937,1281.583,2.774,0.216,6512138,3398917190
2004/9/13,1260.316,1285.319,1259.432,1285.319,-26.765,-2.0795,7293314,3844095940
2004/9/14,1300.357,1305.734,1266.232,1266.232,40.041,3.1771,13197996,7007988130
2004/9/15,1355.226,1374.036,1301.376,1303.288,54.869,4.2195,30964442,17144888750
2004/9/16,1371.201,1377.99,1354.2,1364.25,15.975,1.1788,24053604,13565218750
2004/9/17,1414.702,1415.64,1368.543,1373.499,43.501,3.1725,33018704,18987691250
2004/9/20,1463.221,1463.793,1422.899,1423.972,48.519,3.4296,44940848,26526600000
2004/9/21,1448.562,1467.543,1436.51,1466.203,-14.659,-1.0018,38403424,22673550000
2004/9/22,1420.148,1451.413,1414.701,1444.254,-28.414,-1.9615,32238924,19653057500
2004/9/23,1464.779,1464.976,1408.61,1417.391,44.631,3.1427,23744934,14807842500
2004/9/24,1435.563,1496.214,1434.31,1475.091,-29.216,-1.9946,43475624,28871992500
2004/9/27,1427.398,1466.402,1419.313,1452.508,-8.165,-0.5688,21099196,13007545000
2004/9/28,1435.589,1438.048,1416.603,1430.221,8.191,0.5738,15027514,9323324380
2004/9/29,1420.009,1438.977,1417.829,1436.706,-15.58,-1.0853,14036572,8741386250
2004/9/30,1396.7,1420.052,1390.684,1418.108,-23.309,-1.6415,13680023,8289273750
2004/10/8,1422.929,1423.204,1373.928,1395.669,26.229,1.8779,13813984,9385252704
2004/10/11,1413.154,1437.572,1409.223,1424.225,-9.775,-0.687,23214829,16434170520
2004/10/12,1384.439,1410.61,1380.692,1410.61,-28.715,-2.032,17089837,11572506382
2004/10/13,1386.721,1393.652,1372.063,1382.356,2.282,0.1648,14284111,9790164984
2004/10/14,1332.938,1387.362,1331.131,1386.858,-53.783,-3.8784,17247771,11661332770
2004/10/15,1330.518,1340.116,1312.55,1328.472,-2.42,-0.1816,13543168,8960323331
2004/10/18,1335.394,1341.783,1316.323,1332.521,4.876,0.3665,10119136,6804062896
2004/10/19,1337.618,1361.814,1334.465,1339.064,2.224,0.1665,13040369,8444424476
2004/10/20,1330.584,1337.715,1311.877,1337.714,-7.034,-0.5259,11864561,7605659678
